Place,Crime Category,Year,Amount
Total Nacional,    1. CONTRA LAS PERSONAS,2022,212804.0
Total Nacional,    1. CONTRA LAS PERSONAS,2021,183590.0
Total Nacional,    1. CONTRA LAS PERSONAS,2020,161406.0
Total Nacional,    1. CONTRA LAS PERSONAS,2019,186110.0
Total Nacional,    1. CONTRA LAS PERSONAS,2018,177165.0
Total Nacional,    1. CONTRA LAS PERSONAS,2017,174217.0
Total Nacional,    1. CONTRA LAS PERSONAS,2016,166431.0
Total Nacional,    1. CONTRA LAS PERSONAS,2015,223893.0
Total Nacional,    1. CONTRA LAS PERSONAS,2014,281713.0
Total Nacional,    1. CONTRA LAS PERSONAS,2013,274655.0
Total Nacional,    1. CONTRA LAS PERSONAS,2012,286446.0
Total Nacional,    1. CONTRA LAS PERSONAS,2011,300654.0
Total Nacional,    1. CONTRA LAS PERSONAS,2010,297488.0
Total Nacional,    1.1.-Homicidios dolosos/asesinatos,2022,1539.0
Total Nacional,    1.1.-Homicidios dolosos/asesinatos,2021,1322.0
Total Nacional,    1.1.-Homicidios dolosos/asesinatos,2020,1201.0
Total Nacional,    1.1.-Homicidios dolosos/asesinatos,2019,1167.0
Total Nacional,    1.1.-Homicidios dolosos/asesinatos,2018,1088.0
Total Nacional,    1.1.-Homicidios dolosos/asesinatos,2017,1106.0
Total Nacional,    1.1.-Homicidios dolosos/asesinatos,2016,1107.0
Total Nacional,    1.1.-Homicidios dolosos/asesinatos,2015,964.0
Total Nacional,    1.1.-Homicidios dolosos/asesinatos,2014,1048.0
Total Nacional,    1.1.-Homicidios dolosos/asesinatos,2013,964.0
Total Nacional,    1.1.-Homicidios dolosos/asesinatos,2012,1125.0
Total Nacional,    1.1.-Homicidios dolosos/asesinatos,2011,1210.0
Total Nacional,    1.1.-Homicidios dolosos/asesinatos,2010,1177.0
Total Nacional,    1.1.1.-Homicidios dolosos/asesinatos consumados,2022,325.0
Total Nacional,    1.1.1.-Homicidios dolosos/asesinatos consumados,2021,293.0
Total Nacional,    1.1.1.-Homicidios dolosos/asesinatos consumados,2020,298.0
Total Nacional,    1.1.1.-Homicidios dolosos/asesinatos consumados,2019,331.0
Total Nacional,    1.1.1.-Homicidios dolosos/asesinatos consumados,2018,289.0
Total Nacional,    1.1.1.-Homicidios dolosos/asesinatos consumados,2017,307.0
Total Nacional,    1.1.1.-Homicidios dolosos/asesinatos consumados,2016,294.0
Total Nacional,    1.1.1.-Homicidios dolosos/asesinatos consumados,2015,302.0
Total Nacional,    1.1.1.-Homicidios dolosos/asesinatos consumados,2014,323.0
Total Nacional,    1.1.1.-Homicidios dolosos/asesinatos consumados,2013,302.0
Total Nacional,    1.1.1.-Homicidios dolosos/asesinatos consumados,2012,364.0
Total Nacional,    1.1.1.-Homicidios dolosos/asesinatos consumados,2011,385.0
Total Nacional,    1.1.1.-Homicidios dolosos/asesinatos consumados,2010,401.0
Total Nacional,    1.2.-Lesiones,2022,113704.0
Total Nacional,    1.2.-Lesiones,2021,96159.0
Total Nacional,    1.2.-Lesiones,2020,81449.0
Total Nacional,    1.2.-Lesiones,2019,103341.0
Total Nacional,    1.2.-Lesiones,2018,99928.0
Total Nacional,    1.2.-Lesiones,2017,100354.0
Total Nacional,    1.2.-Lesiones,2016,97108.0
Total Nacional,    1.2.-Lesiones,2015,97012.0
Total Nacional,    1.2.-Lesiones,2014,98821.0
Total Nacional,    1.2.-Lesiones,2013,100193.0
Total Nacional,    1.2.-Lesiones,2012,105913.0
Total Nacional,    1.2.-Lesiones,2011,112824.0
Total Nacional,    1.2.-Lesiones,2010,113067.0
Total Nacional,    1.3.-Malos tratos ámbito familiar,2022,92695.0
Total Nacional,    1.3.-Malos tratos ámbito familiar,2021,82003.0
Total Nacional,    1.3.-Malos tratos ámbito familiar,2020,75203.0
Total Nacional,    1.3.-Malos tratos ámbito familiar,2019,77424.0
Total Nacional,    1.3.-Malos tratos ámbito familiar,2018,72309.0
Total Nacional,    1.3.-Malos tratos ámbito familiar,2017,69812.0
Total Nacional,    1.3.-Malos tratos ámbito familiar,2016,66102.0
Total Nacional,    1.3.-Malos tratos ámbito familiar,2015,64118.0
Total Nacional,    1.3.-Malos tratos ámbito familiar,2014,62392.0
Total Nacional,    1.3.-Malos tratos ámbito familiar,2013,59819.0
Total Nacional,    1.3.-Malos tratos ámbito familiar,2012,59703.0
Total Nacional,    1.3.-Malos tratos ámbito familiar,2011,62260.0
Total Nacional,    1.3.-Malos tratos ámbito familiar,2010,60307.0
Total Nacional,    1.4.-Otros contra las personas,2022,4866.0
Total Nacional,    1.4.-Otros contra las personas,2021,4106.0
Total Nacional,    1.4.-Otros contra las personas,2020,3553.0
Total Nacional,    1.4.-Otros contra las personas,2019,4178.0
Total Nacional,    1.4.-Otros contra las personas,2018,3840.0
Total Nacional,    1.4.-Otros contra las personas,2017,2945.0
Total Nacional,    1.4.-Otros contra las personas,2016,2114.0
Total Nacional,    1.4.-Otros contra las personas,2015,61799.0
Total Nacional,    1.4.-Otros contra las personas,2014,119452.0
Total Nacional,    1.4.-Otros contra las personas,2013,113679.0
Total Nacional,    1.4.-Otros contra las personas,2012,119705.0
Total Nacional,    1.4.-Otros contra las personas,2011,124360.0
Total Nacional,    1.4.-Otros contra las personas,2010,122937.0
Total Nacional,    2. CONTRA LA LIBERTAD,2022,143861.0
Total Nacional,    2. CONTRA LA LIBERTAD,2021,139867.0
Total Nacional,    2. CONTRA LA LIBERTAD,2020,125010.0
Total Nacional,    2. CONTRA LA LIBERTAD,2019,125685.0
Total Nacional,    2. CONTRA LA LIBERTAD,2018,120919.0
Total Nacional,    2. CONTRA LA LIBERTAD,2017,119031.0
Total Nacional,    2. CONTRA LA LIBERTAD,2016,115493.0
Total Nacional,    2. CONTRA LA LIBERTAD,2015,78815.0
Total Nacional,    2. CONTRA LA LIBERTAD,2014,42953.0
Total Nacional,    2. CONTRA LA LIBERTAD,2013,43322.0
Total Nacional,    2. CONTRA LA LIBERTAD,2012,44476.0
Total Nacional,    2. CONTRA LA LIBERTAD,2011,45131.0
Total Nacional,    2. CONTRA LA LIBERTAD,2010,42376.0
Total Nacional,    2.1.-Malos tratos habituales en el ámbito familiar,2022,15647.0
Total Nacional,    2.1.-Malos tratos habituales en el ámbito familiar,2021,15008.0
Total Nacional,    2.1.-Malos tratos habituales en el ámbito familiar,2020,13993.0
Total Nacional,    2.1.-Malos tratos habituales en el ámbito familiar,2019,14575.0
Total Nacional,    2.1.-Malos tratos habituales en el ámbito familiar,2018,14196.0
Total Nacional,    2.1.-Malos tratos habituales en el ámbito familiar,2017,14238.0
Total Nacional,    2.1.-Malos tratos habituales en el ámbito familiar,2016,14554.0
Total Nacional,    2.1.-Malos tratos habituales en el ámbito familiar,2015,15676.0
Total Nacional,    2.1.-Malos tratos habituales en el ámbito familiar,2014,15958.0
Total Nacional,    2.1.-Malos tratos habituales en el ámbito familiar,2013,16676.0
Total Nacional,    2.1.-Malos tratos habituales en el ámbito familiar,2012,17523.0
Total Nacional,    2.1.-Malos tratos habituales en el ámbito familiar,2011,17694.0
Total Nacional,    2.1.-Malos tratos habituales en el ámbito familiar,2010,17270.0
Total Nacional,    2.2.-Otros contra la libertad,2022,128214.0
Total Nacional,    2.2.-Otros contra la libertad,2021,124859.0
Total Nacional,    2.2.-Otros contra la libertad,2020,111017.0
Total Nacional,    2.2.-Otros contra la libertad,2019,111110.0
Total Nacional,    2.2.-Otros contra la libertad,2018,106723.0
Total Nacional,    2.2.-Otros contra la libertad,2017,104793.0
Total Nacional,    2.2.-Otros contra la libertad,2016,100939.0
Total Nacional,    2.2.-Otros contra la libertad,2015,63139.0
Total Nacional,    2.2.-Otros contra la libertad,2014,26995.0
Total Nacional,    2.2.-Otros contra la libertad,2013,26646.0
Total Nacional,    2.2.-Otros contra la libertad,2012,26953.0
Total Nacional,    2.2.-Otros contra la libertad,2011,27437.0
Total Nacional,    2.2.-Otros contra la libertad,2010,25106.0
Total Nacional,    3. LIBERTAD SEXUAL,2022,19013.0
Total Nacional,    3. LIBERTAD SEXUAL,2021,17016.0
Total Nacional,    3. LIBERTAD SEXUAL,2020,13174.0
Total Nacional,    3. LIBERTAD SEXUAL,2019,15319.0
Total Nacional,    3. LIBERTAD SEXUAL,2018,13782.0
Total Nacional,    3. LIBERTAD SEXUAL,2017,11692.0
Total Nacional,    3. LIBERTAD SEXUAL,2016,10844.0
Total Nacional,    3. LIBERTAD SEXUAL,2015,9869.0
Total Nacional,    3. LIBERTAD SEXUAL,2014,9468.0
Total Nacional,    3. LIBERTAD SEXUAL,2013,8923.0
Total Nacional,    3. LIBERTAD SEXUAL,2012,9008.0
Total Nacional,    3. LIBERTAD SEXUAL,2011,9892.0
Total Nacional,    3. LIBERTAD SEXUAL,2010,9957.0
Total Nacional,    3.1.-Agresión sexual,2022,11426.0
Total Nacional,    3.1.-Agresión sexual,2021,10061.0
Total Nacional,    3.1.-Agresión sexual,2020,7276.0
Total Nacional,    3.1.-Agresión sexual,2019,8885.0
Total Nacional,    3.1.-Agresión sexual,2018,7983.0
Total Nacional,    3.1.-Agresión sexual,2017,6580.0
Total Nacional,    3.1.-Agresión sexual,2016,6233.0
Total Nacional,    3.1.-Agresión sexual,2015,5338.0
Total Nacional,    3.1.-Agresión sexual,2014,5150.0
Total Nacional,    3.1.-Agresión sexual,2013,4859.0
Total Nacional,    3.1.-Agresión sexual,2012,5101.0
Total Nacional,    3.1.-Agresión sexual,2011,5479.0
Total Nacional,    3.1.-Agresión sexual,2010,5068.0
Total Nacional,    3.2.-Agresión sexual con penetración,2022,4270.0
Total Nacional,    3.2.-Agresión sexual con penetración,2021,3795.0
Total Nacional,    3.2.-Agresión sexual con penetración,2020,2785.0
Total Nacional,    3.2.-Agresión sexual con penetración,2019,3079.0
Total Nacional,    3.2.-Agresión sexual con penetración,2018,2744.0
Total Nacional,    3.2.-Agresión sexual con penetración,2017,2136.0
Total Nacional,    3.2.-Agresión sexual con penetración,2016,1793.0
Total Nacional,    3.2.-Agresión sexual con penetración,2015,1668.0
Total Nacional,    3.2.-Agresión sexual con penetración,2014,1622.0
Total Nacional,    3.2.-Agresión sexual con penetración,2013,1684.0
Total Nacional,    3.2.-Agresión sexual con penetración,2012,1631.0
Total Nacional,    3.2.-Agresión sexual con penetración,2011,1887.0
Total Nacional,    3.2.-Agresión sexual con penetración,2010,1991.0
Total Nacional,    3.3.-Corrupción de menores o incapacitados,2022,384.0
Total Nacional,    3.3.-Corrupción de menores o incapacitados,2021,347.0
