customerId,itemId,itemCount
1,14,8
1,16,9
1,22,1
1,23,9
1,40,9
1,44,8
1,46,6
1,47,4
1,49,3
1,52,9
3,2,9
3,3,8
3,25,8
3,29,6
3,32,2
3,33,4
3,37,2
3,38,8
3,43,2
3,48,2
3,57,5
3,60,1
4,21,8
4,32,3
4,44,1
4,50,4
4,61,3
4,63,7
5,8,1
6,17,6
7,18,9
7,53,10
7,73,5
8,32,4
8,44,2
9,32,1
10,21,4
11,4,10
11,11,10
11,28,2
11,35,10
11,39,7
11,41,3
11,67,7
11,68,1
11,69,7
11,72,4
12,32,10
12,44,1
12,64,1
12,66,7
13,3,9
13,35,6
13,45,5
13,59,9
14,2,8
14,32,10
14,33,5
14,61,7
14,63,10
15,55,1
16,40,8
16,48,10
16,54,10
17,1,9
17,7,3
17,12,8
17,15,1
17,24,6
17,32,8
17,71,2
17,72,6
18,3,9
18,5,8
18,8,6
18,9,3
18,10,8
18,13,10
18,26,6
18,27,7
18,34,1
18,56,1
18,58,8
18,62,6
18,65,2
19,30,5
20,7,2
20,32,8
20,33,5
20,36,8
20,44,9
20,56,6
21,7,8
21,8,5
21,21,10
21,25,2
21,31,8
21,32,3
21,44,8
22,51,8
22,70,3
22,74,5
23,3,3
23,4,6
23,8,8
23,12,3
24,10,9
24,13,7
24,28,2
24,29,7
24,36,2
24,49,3
25,2,1
25,3,3
25,9,2
25,15,1
25,23,10
25,37,9
25,53,6
25,68,9
25,74,9
26,13,3
26,24,8
26,31,1
26,39,2
26,40,4
26,54,7
26,62,10
26,65,7
26,73,5
27,2,10
27,7,8
27,31,4
27,37,10
27,61,7
27,64,9
28,9,10
28,14,8
28,26,5
28,36,7
28,64,2
29,5,3
29,9,6
29,10,3
29,12,4
29,16,4
29,18,2
29,23,7
29,27,2
29,32,1
29,35,7
29,41,2
29,46,6
29,49,1
30,10,7
30,18,1
30,26,7
30,38,2
30,52,1
30,56,5
30,62,10
31,1,1
31,49,8
32,6,10
32,16,10
32,19,4
32,20,10
32,21,8
32,42,4
33,41,3
33,45,10
33,56,2
33,62,9
33,65,6
33,66,6
33,67,9
33,68,7
33,74,3
34,40,3
34,45,9
34,50,3
34,52,3
34,55,4
34,63,2
34,69,3
35,4,7
35,12,9
35,23,1
35,27,3
36,69,5
37,10,1
37,25,5
37,34,4
38,25,8
38,38,5
38,48,8
38,50,7
38,51,6
38,55,1
39,10,7
39,12,10
39,28,7
39,60,9
39,72,9
40,48,3
41,8,4
41,21,5
41,22,2
41,44,3
42,30,2
42,39,10
42,50,9
43,13,2
43,17,6
43,29,1
43,39,10
43,63,1
43,70,6
44,3,4
44,18,8
44,32,1
44,50,10
44,64,10
45,7,3
45,23,9
46,3,4
46,8,10
46,24,1
46,38,6
47,1,8
47,11,8
47,22,4
47,38,9
47,53,6
48,60,7
49,11,2
50,15,2
50,17,7
51,5,2
51,16,4
52,53,9
52,74,10
53,32,1
53,51,7
54,45,7
54,70,9
55,4,3
55,8,4
55,28,1
55,33,1
55,36,3
55,56,1
55,60,3
56,40,10
57,2,10
57,15,8
57,21,1
57,24,8
57,31,10
57,37,8
57,57,7
57,58,7
58,17,8
58,65,10
58,66,7
58,67,6
59,61,3
59,62,4
59,63,10
60,35,7
60,51,5
60,72,6
61,32,3
61,39,4
62,22,8
62,63,4
62,65,8
63,7,6
63,59,3
64,44,1
65,2,6
65,8,4
65,22,8
65,44,8
65,47,7
66,5,10
66,8,1
66,21,9
66,51,10
67,74,7
68,44,4
68,49,9
69,7,7
70,21,6
71,10,7
72,51,7
73,33,2
73,67,7
73,70,2
74,5,5
74,6,8
74,19,9
74,20,2
74,32,4
74,42,10
75,32,4
76,8,7
76,17,2
76,33,10
76,44,1
76,59,5
76,72,2
76,73,7
77,45,1
78,18,9
78,26,6
78,30,7
78,37,9
78,43,4
78,50,2
78,70,10
79,7,4
79,32,9
79,44,9
80,32,4
80,33,9
80,59,3
80,65,4
81,32,7
81,44,2
82,19,1
82,39,2
82,66,4
82,68,1
83,33,5
83,44,7
84,14,9
85,73,7
86,33,3
86,38,2
86,58,7
86,72,10
87,51,4
88,8,9
88,19,2
88,27,10
88,35,5
88,47,7
88,51,6
88,62,5
88,66,1
88,74,8
89,23,5
89,49,6
89,60,1
