Place,Year,Population
Albacete,2022,385727
Albacete,2021,386464
Albacete,2020,388270
Albacete,2019,388167
Albacete,2018,388786
Albacete,2017,390032
Albacete,2016,392118
Albacete,2015,394580
Albacete,2014,396987
Albacete,2013,400007
Albacete,2012,402837
Albacete,2011,402318
Albacete,2010,401682
Alicante,2022,1901594
Alicante,2021,1881762
Alicante,2020,1879888
Alicante,2019,1858683
Alicante,2018,1838819
Alicante,2017,1825332
Alicante,2016,1836459
Alicante,2015,1855047
Alicante,2014,1868438
Alicante,2013,1945642
Alicante,2012,1943910
Alicante,2011,1934127
Alicante,2010,1926285
Almería,2022,740534
Almería,2021,731792
Almería,2020,727945
Almería,2019,716820
Almería,2018,709340
Almería,2017,706672
Almería,2016,704297
Almería,2015,701211
Almería,2014,701688
Almería,2013,699329
Almería,2012,704219
Almería,2011,702819
Almería,2010,695560
Araba/Álava,2022,334412
Araba/Álava,2021,333626
Araba/Álava,2020,333940
Araba/Álava,2019,331549
Araba/Álava,2018,328868
Araba/Álava,2017,326574
Araba/Álava,2016,324126
Araba/Álava,2015,323648
Araba/Álava,2014,321932
Araba/Álava,2013,321417
Araba/Álava,2012,322557
Araba/Álava,2011,319227
Araba/Álava,2010,317352
Asturias,2022,1004686
Asturias,2021,1011792
Asturias,2020,1018784
Asturias,2019,1022800
Asturias,2018,1028244
Asturias,2017,1034960
Asturias,2016,1042608
Asturias,2015,1051229
Asturias,2014,1061756
Asturias,2013,1068165
Asturias,2012,1077360
Asturias,2011,1081487
Asturias,2010,1084341
Ávila,2022,158140
Ávila,2021,158421
Ávila,2020,157664
Ávila,2019,157640
Ávila,2018,158498
Ávila,2017,160700
Ávila,2016,162514
Ávila,2015,164925
Ávila,2014,167015
Ávila,2013,168825
Ávila,2012,171265
Ávila,2011,172704
Ávila,2010,171896
Badajoz,2022,666971
Badajoz,2021,669943
Badajoz,2020,672137
Badajoz,2019,673559
Badajoz,2018,676376
Badajoz,2017,679884
Badajoz,2016,684113
Badajoz,2015,686730
Badajoz,2014,690929
Badajoz,2013,693729
Badajoz,2012,694533
Badajoz,2011,693921
Badajoz,2010,692137
Balears (Illes),2022,1176659
Balears (Illes),2021,1173008
Balears (Illes),2020,1171543
Balears (Illes),2019,1149460
Balears (Illes),2018,1128908
Balears (Illes),2017,1115999
Balears (Illes),2016,1107220
Balears (Illes),2015,1104479
Balears (Illes),2014,1103442
Balears (Illes),2013,1111674
Balears (Illes),2012,1119439
Balears (Illes),2011,1113114
Balears (Illes),2010,1106049
Barcelona,2022,5727615
Barcelona,2021,5714730
Barcelona,2020,5743402
Barcelona,2019,5664579
Barcelona,2018,5609350
Barcelona,2017,5576037
Barcelona,2016,5542680
Barcelona,2015,5523922
Barcelona,2014,5523784
Barcelona,2013,5540925
Barcelona,2012,5552050
Barcelona,2011,5529099
Barcelona,2010,5511147
Vizcaya,2022,1149344
Vizcaya,2021,1154334
Vizcaya,2020,1159443
Vizcaya,2019,1152651
Vizcaya,2018,1149628
Vizcaya,2017,1148302
Vizcaya,2016,1147576
Vizcaya,2015,1148775
